name,OEM,Model,Variant,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price,RTO Number
Maruti Alto LX,Maruti,Alto,LX,2011,50000,Petrol,Individual,Manual,First Owner,10.0,196896,135000,DL18WR5103
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2013,80000,Petrol,Individual,Manual,First Owner,10.82,198540,160000,TN70BU4656
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2012,110000,Diesel,Individual,Manual,First Owner,13.29,198631,120000,MP42YX8826
Maruti Alto LXi,Maruti,Alto,LXi,2010,90000,Petrol,Individual,Manual,Second Owner,12.35,200484,120000,AP59NF7186
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,80000,Diesel,Individual,Manual,Second Owner,11.0,200996,150000,UP17SJ8407
Tata Indigo CS LE (TDI) BS-III,Tata,Indigo,CS LE (TDI) BS-III,2011,115000,Diesel,Individual,Manual,Fourth & Above Owner,11.0,201408,95000,JK58QS1064
Tata Manza Aura Safire BS IV,Tata,Manza,Aura Safire BS IV,2010,60000,Petrol,Individual,Manual,Second Owner,10.34,201605,160000,TS63QL7675
Tata Indigo CR4,Tata,Indigo,CR4,2012,120000,Diesel,Individual,Manual,First Owner,9.0,202888,130000,RJ76OC4794
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2012,125000,Diesel,Individual,Manual,First Owner,9.0,203616,120000,HR40NM9503
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,140000,Diesel,Individual,Manual,First Owner,13.0,203832,120000,HR45IO9989
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,10.6,204285,125000,KL26AE7283
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2014,61000,Petrol,Individual,Manual,First Owner,10.0,204418,180000,MP77YN4120
Hyundai Accent Executive CNG,Hyundai,Accent,Executive CNG,2010,110000,CNG,Individual,Manual,First Owner,14.15,204629,140000,PB53AY4566
Tata Indica Vista Aqua 1.2 Safire BSIV,Tata,Indica,Vista Aqua 1.2 Safire BSIV,2010,128000,Petrol,Individual,Manual,First Owner,9.02,205046,97000,KL69ZS4545
Hyundai i10 Sportz 1.2,Hyundai,i10,Sportz 1.2,2010,60000,Petrol,Individual,Manual,Third Owner,9.0,205101,125000,UP84ZG8342
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2012,80000,Petrol,Individual,Manual,First Owner,11.82,205429,130000,DL86WD7884
Tata Indigo GLS,Tata,Indigo,GLS,2011,62000,Petrol,Individual,Manual,Second Owner,11.0,205643,80000,AS81RL6774
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2012,90000,Petrol,Individual,Manual,Second Owner,13.51,207915,134000,GJ22HL3398
Tata Indica V2 DLS BSII,Tata,Indica,V2 DLS BSII,2010,100000,Diesel,Individual,Manual,Third Owner,10.0,208274,75000,CG72CQ1938
Chevrolet Aveo 1.6 LT with ABS,Chevrolet,Aveo,1.6 LT with ABS,2010,120000,Petrol,Individual,Manual,Second Owner,12.0,208505,140000,TN28EJ5278
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2010,90000,Diesel,Individual,Manual,Second Owner,12.0,210867,110000,MP59BS9886
Maruti Alto LXi,Maruti,Alto,LXi,2010,30000,Petrol,Individual,Manual,First Owner,15.0,211156,140000,TS19SL8071
Maruti Alto LXi,Maruti,Alto,LXi,2012,60000,Petrol,Individual,Manual,Second Owner,11.0,211255,160000,WB54FI3336
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2010,60000,Petrol,Individual,Manual,Fourth & Above Owner,13.08,211521,100000,AP38FZ9792
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2011,40000,Petrol,Individual,Manual,Second Owner,11.0,211552,170000,KA44GG5952
Maruti Alto LX,Maruti,Alto,LX,2010,90000,Petrol,Individual,Manual,First Owner,10.53,211884,120000,TN63NR5049
Hyundai Santro Xing GLS CNG,Hyundai,Santro,Xing GLS CNG,2010,98000,CNG,Individual,Manual,Second Owner,14.0,213798,130000,AP11JC5784
Maruti Wagon R LXI CNG,Maruti,Wagon,R LXI CNG,2011,60000,CNG,Individual,Manual,Second Owner,14.68,213919,160000,UT20VX7294
Hyundai Accent Executive,Hyundai,Accent,Executive,2011,60000,Petrol,Individual,Manual,First Owner,11.0,214010,150000,TS25MM2696
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2014,70000,Petrol,Individual,Manual,Second Owner,11.0,214241,210000,MP62OU7387
Maruti Alto LX,Maruti,Alto,LX,2011,36000,Petrol,Dealer,Manual,First Owner,10.41,214275,180000,MP69PX4587
Tata Indica GLS BS IV,Tata,Indica,GLS BS IV,2010,300000,Petrol,Individual,Manual,Third Owner,9.0,215019,90000,CG39LL3915
Tata Indica Vista Aqua 1.2 Safire BSIV,Tata,Indica,Vista Aqua 1.2 Safire BSIV,2010,128000,Petrol,Individual,Manual,First Owner,11.0,215138,97000,AS69KX9506
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2010,102307,Diesel,Dealer,Manual,First Owner,11.35,215414,160000,AP84FT2343
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2012,98900,Diesel,Individual,Manual,Third Owner,12.0,217326,126000,HR94JS3013
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2010,50000,Petrol,Individual,Manual,First Owner,14.0,217373,110000,GJ66ML4290
Tata Indica Vista Terra Quadrajet 1.3L,Tata,Indica,Vista Terra Quadrajet 1.3L,2011,90000,Diesel,Individual,Manual,Third Owner,11.0,217842,140000,PB52BX7809
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2011,80000,Diesel,Individual,Manual,First Owner,9.0,218099,133000,DL72KA6974
Mahindra Scorpio 1.99 S10,Mahindra,Scorpio,1.99 S10,2015,55000,Diesel,Individual,Manual,Second Owner,15.0,218250,150000,OR86BH5252
Fiat Linea T Jet Emotion,Fiat,Linea,T Jet Emotion,2010,90000,Petrol,Individual,Manual,Second Owner,9.0,218398,215000,KA11HN2889
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2015,60000,Petrol,Individual,Manual,First Owner,11.0,218943,155000,RJ56BK1965
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2012,110000,Diesel,Individual,Manual,First Owner,10.0,219213,150000,KA54JN1416
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2014,25000,Petrol,Individual,Manual,First Owner,9.0,219683,110000,BR22BP7213
Tata Indigo CR4,Tata,Indigo,CR4,2011,70000,Diesel,Individual,Manual,Second Owner,13.0,220048,150000,KA47CG2869
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2012,70000,Petrol,Individual,Manual,Third Owner,13.0,220515,160000,DL13FR2735
Maruti A-Star AT VXI,Maruti,A-Star,AT VXI,2012,70000,Petrol,Individual,Automatic,First Owner,11.0,220606,150000,KA41KC2496
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2011,56000,Diesel,Dealer,Manual,Second Owner,10.0,221353,221000,UP86SK5757
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2012,80000,Diesel,Individual,Manual,Third Owner,15.0,221995,120000,PB40XX7146
Tata Nano Cx BSIV,Tata,Nano,Cx BSIV,2012,35000,Petrol,Individual,Manual,Second Owner,11.0,222192,75000,JK32ZJ4863
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2012,110000,Diesel,Individual,Manual,First Owner,10.0,222202,120000,KA44VD1183
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2011,60000,Petrol,Individual,Manual,First Owner,11.0,222326,165000,MH10QY6915
Maruti Alto LX,Maruti,Alto,LX,2011,50000,Petrol,Individual,Manual,First Owner,13.5,222538,135000,MP94KD5081
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2013,25000,Petrol,Individual,Manual,Second Owner,10.93,222542,92800,JK59GQ5769
Maruti Omni MPI STD BSIV,Maruti,Omni,MPI STD BSIV,2014,120000,Petrol,Individual,Manual,Third Owner,12.0,222989,150000,MH65QA6120
Ford Figo Petrol Titanium,Ford,Figo,Petrol Titanium,2011,60000,Petrol,Individual,Manual,Third Owner,13.16,223154,120000,BR77BA7122
Hyundai Santro Xing GL,Hyundai,Santro,Xing GL,2011,157000,Petrol,Individual,Manual,First Owner,10.0,223499,150000,UP23MN2790
Hyundai Santro Xing GLS,Hyundai,Santro,Xing GLS,2010,90000,Petrol,Individual,Manual,Third Owner,13.0,224010,120000,MP95AX7457
Chevrolet Spark 1.0 PS,Chevrolet,Spark,1.0 PS,2010,73000,Petrol,Individual,Manual,First Owner,14.0,224787,110000,KL66TJ7043
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2019,20000,Petrol,Individual,Manual,First Owner,10.82,224888,210000,WB61II7554
Nissan Micra Diesel XV Premium,Nissan,Micra,Diesel XV Premium,2011,90000,Diesel,Individual,Manual,Second Owner,10.57,225124,138000,CG99NR8970
Tata Indica Vista TDI LX,Tata,Indica,Vista TDI LX,2013,65000,Diesel,Individual,Manual,First Owner,10.0,225492,185000,GJ30CK1296
Hyundai EON 1.0 Kappa Magna Plus,Hyundai,EON,1.0 Kappa Magna Plus,2015,80000,Petrol,Individual,Manual,Second Owner,10.06,225661,170000,RJ12CQ5330
Chevrolet Beat Diesel,Chevrolet,Beat,Diesel,2012,110000,Diesel,Individual,Manual,First Owner,13.0,225801,160000,JK25MI9997
Maruti Alto LXi,Maruti,Alto,LXi,2011,40000,Petrol,Individual,Manual,Second Owner,11.0,225905,150000,DL68ES3838
Hyundai Verna SX Diesel,Hyundai,Verna,SX Diesel,2011,72000,Diesel,Dealer,Manual,Third Owner,10.0,226581,210000,AP62NG5150
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2011,80000,Diesel,Individual,Manual,Second Owner,12.0,226721,130000,RJ21GU2244
Tata Indigo CR4,Tata,Indigo,CR4,2011,155500,Diesel,Individual,Manual,First Owner,9.0,226741,150000,MP42JQ3784
Maruti Alto 800 Base,Maruti,Alto,800 Base,2015,40000,Petrol,Individual,Manual,First Owner,9.0,226780,155000,KL62EG5533
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2010,81000,Diesel,Individual,Manual,Second Owner,9.0,226851,125000,AP68EO6131
Mahindra Verito 1.5 D2 BSIII,Mahindra,Verito,1.5 D2 BSIII,2011,175000,Diesel,Individual,Manual,First Owner,15.0,227353,175000,RJ88JU9495
Tata Indigo CR4,Tata,Indigo,CR4,2013,100000,Diesel,Individual,Manual,First Owner,9.64,227496,220000,BR58EF1712
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2014,42000,Petrol,Individual,Manual,First Owner,9.0,227631,220000,JK18SE2340
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2011,60000,Petrol,Individual,Manual,Second Owner,9.0,228405,140000,RJ67YH6877
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2011,80000,Diesel,Individual,Manual,First Owner,9.0,228791,133000,AS50WH1885
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,First Owner,9.11,228974,115999,MP48DG6326
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2010,15000,Petrol,Individual,Manual,First Owner,10.0,229706,180000,CG94QA7415
Hyundai i10 Magna,Hyundai,i10,Magna,2012,50000,Petrol,Individual,Manual,First Owner,11.0,230055,210000,PB71BQ1780
Maruti Alto K10 LXI,Maruti,Alto,K10 LXI,2015,120000,Petrol,Individual,Manual,Fourth & Above Owner,14.0,230653,138000,CG86YA1255
Chevrolet Beat LT,Chevrolet,Beat,LT,2011,90000,Petrol,Individual,Manual,Second Owner,10.33,231085,120000,AS56ZJ2777
Fiat Punto 1.3 Emotion,Fiat,Punto,1.3 Emotion,2010,210000,Diesel,Individual,Manual,Second Owner,11.88,231528,130000,DL22TJ7051
Tata Indica Vista Aura Plus 1.3 Quadrajet,Tata,Indica,Vista Aura Plus 1.3 Quadrajet,2012,70000,Diesel,Individual,Manual,Second Owner,9.0,232042,200000,OR96NK4918
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2011,90000,Petrol,Individual,Manual,First Owner,12.0,233382,135000,KL42LX7279
Chevrolet Beat LT,Chevrolet,Beat,LT,2012,12000,Petrol,Individual,Manual,First Owner,11.0,233673,155000,CG77LM2949
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,80000,Diesel,Individual,Manual,Second Owner,14.0,233882,150000,JK10RJ2120
Maruti Omni MPI STD BSIV,Maruti,Omni,MPI STD BSIV,2015,70000,Petrol,Individual,Manual,First Owner,9.9,234448,130000,OR31DX5750
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,Aveo,U-VA 1.2 LS,2010,60000,Petrol,Individual,Manual,First Owner,12.0,234976,140000,KA16WF8604
Maruti Zen Estilo VXI BSIV,Maruti,Zen,Estilo VXI BSIV,2010,50000,Petrol,Individual,Manual,Second Owner,11.41,235035,130000,JK61KM1724
Ford Figo Petrol ZXI,Ford,Figo,Petrol ZXI,2011,50000,Petrol,Individual,Manual,Third Owner,14.96,235388,185000,WB46AQ4767
Chevrolet Spark 1.0,Chevrolet,Spark,1.0,2010,70000,Petrol,Individual,Manual,First Owner,9.0,235468,80000,AP71ZQ8376
Tata Indigo LS,Tata,Indigo,LS,2012,200000,Diesel,Individual,Manual,Third Owner,15.0,235932,100000,UP15BA8689
Tata Indigo CS Emax CNG GLX,Tata,Indigo,CS Emax CNG GLX,2014,72000,CNG,Dealer,Manual,First Owner,12.0,236582,185000,HR43SP3556
Maruti Ritz VDi,Maruti,Ritz,VDi,2010,100000,Diesel,Individual,Manual,Second Owner,13.0,236863,148000,WB57AN1721
Chevrolet Beat Diesel PS,Chevrolet,Beat,Diesel PS,2012,68000,Diesel,Dealer,Manual,First Owner,15.0,237059,159000,HR47RJ5829
Tata Indigo LS,Tata,Indigo,LS,2012,90000,Diesel,Individual,Manual,First Owner,9.44,237246,150000,PB41BL7246
Hyundai EON 1.0 Era Plus,Hyundai,EON,1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,12.0,237389,100000,RJ65CZ7807
Nissan Micra Diesel XV Premium,Nissan,Micra,Diesel XV Premium,2013,13770,Diesel,Individual,Manual,First Owner,10.0,238154,210000,AS53HP7003
Ford Figo Petrol ZXI,Ford,Figo,Petrol ZXI,2012,30000,Petrol,Individual,Manual,Third Owner,11.82,239089,130000,AP62IH3254
Fiat Grande Punto 1.3 Dynamic (Diesel),Fiat,Grande,Punto 1.3 Dynamic (Diesel),2010,63000,Diesel,Individual,Manual,Third Owner,11.15,239531,150000,MP14ZJ2092
Tata Indica Vista TDI LS,Tata,Indica,Vista TDI LS,2010,107500,Diesel,Dealer,Manual,First Owner,15.0,239949,170000,GJ50BY4773
Tata Nano Twist XE,Tata,Nano,Twist XE,2015,23800,Petrol,Individual,Manual,Second Owner,15.0,241779,100000,JK10NZ3929
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,Manza,Aura (ABS) Quadrajet BS IV,2012,155836,Diesel,Individual,Manual,Second Owner,9.0,242495,180000,GJ91RK1516
Chevrolet Beat Diesel,Chevrolet,Beat,Diesel,2012,110000,Diesel,Individual,Manual,First Owner,14.0,243497,160000,KA83GF9615
Tata Nano Lx BSIV,Tata,Nano,Lx BSIV,2010,58850,Petrol,Dealer,Manual,First Owner,9.0,243675,75000,UP96YY4564
Tata Sumo GX TC 8 Str,Tata,Sumo,GX TC 8 Str,2010,120000,Diesel,Individual,Manual,Second Owner,11.0,244077,220000,BR61VJ8888
Chevrolet Beat LT Option,Chevrolet,Beat,LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,9.58,244699,239000,PB22LU2827
Tata Indica Vista Quadrajet VX,Tata,Indica,Vista Quadrajet VX,2012,85000,Diesel,Individual,Manual,First Owner,14.0,244769,185000,AP81YY3348
Tata Indigo LX,Tata,Indigo,LX,2012,90000,Diesel,Individual,Manual,Second Owner,13.18,245174,130000,DL89UX2975
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2011,100000,Petrol,Individual,Manual,Third Owner,9.0,245532,99000,MP54BN4750
Maruti Alto LXi,Maruti,Alto,LXi,2012,50000,Petrol,Individual,Manual,First Owner,10.0,246157,150000,PB42LB9905
Maruti Ritz VDi,Maruti,Ritz,VDi,2011,40000,Diesel,Individual,Manual,Second Owner,13.0,246328,150000,RJ45TM8263
Renault KWID RXT,Renault,KWID,RXT,2017,50000,Petrol,Individual,Manual,First Owner,10.09,246365,240000,CG34DX2592
Tata Nano Cx BSIII,Tata,Nano,Cx BSIII,2014,7000,Petrol,Individual,Manual,Second Owner,10.17,246412,45000,AS73RU5329
Maruti Alto LXi,Maruti,Alto,LXi,2011,70000,Petrol,Individual,Manual,First Owner,14.42,246479,150000,WB33OK9008
Maruti SX4 Vxi BSIV,Maruti,SX4,Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,10.81,246548,225000,RJ46XX5216
Chevrolet Beat Diesel PS,Chevrolet,Beat,Diesel PS,2012,58000,Diesel,Dealer,Manual,First Owner,11.16,246554,130000,CG39FT7139
Chevrolet Beat LS,Chevrolet,Beat,LS,2012,50000,Petrol,Individual,Manual,First Owner,12.72,246555,180000,WB22PP4174
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,Third Owner,9.51,246895,200000,AP86KY1270
Hyundai EON Sportz,Hyundai,EON,Sportz,2012,55766,Petrol,Individual,Manual,Second Owner,10.0,247219,150000,TN46HD4538
Mahindra Quanto C4,Mahindra,Quanto,C4,2013,100000,Diesel,Individual,Manual,Fourth & Above Owner,9.86,247481,220000,WB53DZ3744
Maruti 800 AC,Maruti,800,AC,2013,80000,Petrol,Individual,Manual,First Owner,15.0,247563,100000,KL10LZ7097
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2010,70000,Petrol,Individual,Manual,First Owner,9.0,247724,222000,AP88DC3185
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2011,90000,Petrol,Individual,Manual,Second Owner,10.89,248904,170000,WB47PK4683
Tata Indica Vista Aura Plus 1.3 Quadrajet,Tata,Indica,Vista Aura Plus 1.3 Quadrajet,2012,90000,Diesel,Individual,Manual,Second Owner,9.33,249167,200000,GJ95KN5417
Renault KWID RXT,Renault,KWID,RXT,2016,53000,Petrol,Individual,Manual,Second Owner,10.76,250023,200000,PB30EX2325
Tata Nano XM,Tata,Nano,XM,2015,60000,Petrol,Individual,Manual,Second Owner,12.85,250303,190000,AP17EW2647
Mahindra Bolero SLX,Mahindra,Bolero,SLX,2011,70000,Diesel,Individual,Manual,Third Owner,14.0,250466,170000,TS69KF4937
