name,OEM,Model,Variant,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price,RTO Number
Hyundai EON 1.0 Era Plus,Hyundai,EON,1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,12.0,170565,100000,MH13SN1350
Tata Indica Vista Terra 1.4 TDI,Tata,Indica,Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,13.0,170597,100000,MH58RW7543
Hyundai EON D Lite Plus,Hyundai,EON,D Lite Plus,2012,70000,Petrol,Individual,Manual,Second Owner,10.4,171852,160000,MH97MG2954
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2014,166000,Diesel,Individual,Manual,Fourth & Above Owner,11.92,176527,125000,MH77BC3274
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2012,50000,Diesel,Individual,Manual,First Owner,10.0,177451,160000,MH18UP8445
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2011,120000,Diesel,Individual,Manual,Second Owner,10.0,177915,150000,MH48OW2264
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Polo,Diesel Trendline 1.2L,2010,144000,Diesel,Individual,Manual,Fourth & Above Owner,9.0,178777,130000,MH77GF6077
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2010,90000,Diesel,Individual,Manual,Third Owner,9.2,179027,105000,MH18PA2920
Tata Indica Vista Aura 1.2 Safire,Tata,Indica,Vista Aura 1.2 Safire,2010,120000,Petrol,Individual,Manual,Second Owner,14.18,180295,100000,MH51VV4347
Tata Manza Aura (ABS) Safire BS IV,Tata,Manza,Aura (ABS) Safire BS IV,2010,77073,Petrol,Individual,Manual,Second Owner,13.0,181526,110000,MH50PU3315
Tata Indica Vista Aqua 1.3 Quadrajet,Tata,Indica,Vista Aqua 1.3 Quadrajet,2010,110000,Diesel,Individual,Manual,Second Owner,13.0,183163,110000,MH55CD1753
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,140000,Diesel,Individual,Manual,First Owner,10.98,184323,120000,MH37WH6836
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,12.0,184642,125000,MH34AT4933
Tata Indigo TDI,Tata,Indigo,TDI,2013,100000,Diesel,Individual,Manual,First Owner,10.28,185893,182000,MH80KK8405
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,80000,Petrol,Individual,Manual,Second Owner,13.0,185992,135000,MH77FJ3131
Maruti Alto LX,Maruti,Alto,LX,2011,60000,Petrol,Individual,Manual,Third Owner,10.77,186723,114999,MH15AC6266
Tata Indigo CR4,Tata,Indigo,CR4,2011,90000,Diesel,Individual,Manual,First Owner,11.0,188108,130000,MH39CK4434
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2013,93900,Diesel,Individual,Manual,Second Owner,15.0,188382,130000,MH41OD2707
Maruti Alto LXi,Maruti,Alto,LXi,2010,36000,Petrol,Individual,Manual,First Owner,11.0,189677,160000,MH58GP4757
Maruti A-Star Vxi,Maruti,A-Star,Vxi,2011,70000,Petrol,Individual,Manual,Second Owner,9.22,189731,150000,MH84LU2279
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2017,50000,Petrol,Individual,Manual,First Owner,9.0,190449,160000,MH11EH3676
Tata Indigo LX,Tata,Indigo,LX,2011,60000,Diesel,Individual,Manual,Second Owner,12.12,191190,140000,MH75CQ5000
Tata Indica Vista TDI LX,Tata,Indica,Vista TDI LX,2011,120000,Diesel,Individual,Manual,Second Owner,15.0,192003,125000,MH77BB8624
Maruti Omni MPI STD BSIV,Maruti,Omni,MPI STD BSIV,2016,120000,Petrol,Individual,Manual,First Owner,15.0,193588,120000,MH53VS4997
Tata Nano Lx,Tata,Nano,Lx,2011,20000,Petrol,Individual,Manual,First Owner,13.17,194246,120000,MH98UN5106
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2012,50000,Petrol,Individual,Manual,First Owner,10.0,194989,120000,MH86QI9995
Tata Indigo LX,Tata,Indigo,LX,2012,120000,Diesel,Individual,Manual,First Owner,15.0,195044,125000,MH60BZ6133
Chevrolet Spark 1.0 LT BS3,Chevrolet,Spark,1.0 LT BS3,2013,60000,Petrol,Individual,Manual,Second Owner,10.0,195568,150000,MH79OJ9889
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,70000,Petrol,Individual,Manual,Second Owner,9.0,195610,114999,MH80BR7679
Maruti Alto LX,Maruti,Alto,LX,2012,90000,Petrol,Individual,Manual,First Owner,11.0,195806,150000,MH60TR2643
Maruti Alto K10 LXI,Maruti,Alto,K10 LXI,2012,20000,Petrol,Individual,Manual,Second Owner,9.13,196472,175000,MH98QA2432
Maruti Alto LX,Maruti,Alto,LX,2010,88000,Petrol,Individual,Manual,Second Owner,13.0,196823,110000,MH52HQ7245
Maruti Alto LX,Maruti,Alto,LX,2011,50000,Petrol,Individual,Manual,First Owner,10.0,196896,135000,MH15GK1654
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2013,80000,Petrol,Individual,Manual,First Owner,10.82,198540,160000,MH38EK8723
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2012,110000,Diesel,Individual,Manual,First Owner,13.29,198631,120000,MH94VL9645
Maruti Alto LXi,Maruti,Alto,LXi,2010,90000,Petrol,Individual,Manual,Second Owner,12.35,200484,120000,MH63AM8300
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,80000,Diesel,Individual,Manual,Second Owner,11.0,200996,150000,MH19PP5619
Tata Indigo CS LE (TDI) BS-III,Tata,Indigo,CS LE (TDI) BS-III,2011,115000,Diesel,Individual,Manual,Fourth & Above Owner,11.0,201408,95000,MH11TM2167
Tata Manza Aura Safire BS IV,Tata,Manza,Aura Safire BS IV,2010,60000,Petrol,Individual,Manual,Second Owner,10.34,201605,160000,MH87BA7824
Tata Indigo CR4,Tata,Indigo,CR4,2012,120000,Diesel,Individual,Manual,First Owner,9.0,202888,130000,MH46KM7191
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2012,125000,Diesel,Individual,Manual,First Owner,9.0,203616,120000,MH45DQ5670
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,140000,Diesel,Individual,Manual,First Owner,13.0,203832,120000,MH43UK3536
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,10.6,204285,125000,MH44ZS8781
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2014,61000,Petrol,Individual,Manual,First Owner,10.0,204418,180000,MH89ZT5578
Hyundai Accent Executive CNG,Hyundai,Accent,Executive CNG,2010,110000,CNG,Individual,Manual,First Owner,14.15,204629,140000,MH25GP1227
Tata Indica Vista Aqua 1.2 Safire BSIV,Tata,Indica,Vista Aqua 1.2 Safire BSIV,2010,128000,Petrol,Individual,Manual,First Owner,9.02,205046,97000,MH86HT6152
Hyundai i10 Sportz 1.2,Hyundai,i10,Sportz 1.2,2010,60000,Petrol,Individual,Manual,Third Owner,9.0,205101,125000,MH83DD2942
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2012,80000,Petrol,Individual,Manual,First Owner,11.82,205429,130000,MH65SK8155
Tata Indigo GLS,Tata,Indigo,GLS,2011,62000,Petrol,Individual,Manual,Second Owner,11.0,205643,80000,MH49AI1958
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2012,90000,Petrol,Individual,Manual,Second Owner,13.51,207915,134000,MH77BN4098
Tata Indica V2 DLS BSII,Tata,Indica,V2 DLS BSII,2010,100000,Diesel,Individual,Manual,Third Owner,10.0,208274,75000,MH15LH7269
Chevrolet Aveo 1.6 LT with ABS,Chevrolet,Aveo,1.6 LT with ABS,2010,120000,Petrol,Individual,Manual,Second Owner,12.0,208505,140000,MH50ID2086
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2010,90000,Diesel,Individual,Manual,Second Owner,12.0,210867,110000,MH81SG1660
Maruti Alto LXi,Maruti,Alto,LXi,2010,30000,Petrol,Individual,Manual,First Owner,15.0,211156,140000,MH24TS9838
Maruti Alto LXi,Maruti,Alto,LXi,2012,60000,Petrol,Individual,Manual,Second Owner,11.0,211255,160000,MH13WQ1643
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2010,60000,Petrol,Individual,Manual,Fourth & Above Owner,13.08,211521,100000,MH51EQ7704
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2011,40000,Petrol,Individual,Manual,Second Owner,11.0,211552,170000,MH38CA3853
Maruti Alto LX,Maruti,Alto,LX,2010,90000,Petrol,Individual,Manual,First Owner,10.53,211884,120000,MH63MM4990
Hyundai Santro Xing GLS CNG,Hyundai,Santro,Xing GLS CNG,2010,98000,CNG,Individual,Manual,Second Owner,14.0,213798,130000,MH57UT4338
Maruti Wagon R LXI CNG,Maruti,Wagon,R LXI CNG,2011,60000,CNG,Individual,Manual,Second Owner,14.68,213919,160000,MH52LG2357
Hyundai Accent Executive,Hyundai,Accent,Executive,2011,60000,Petrol,Individual,Manual,First Owner,11.0,214010,150000,MH19IM8122
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2014,70000,Petrol,Individual,Manual,Second Owner,11.0,214241,210000,MH37AO9942
Maruti Alto LX,Maruti,Alto,LX,2011,36000,Petrol,Dealer,Manual,First Owner,10.41,214275,180000,MH74DL7377
Tata Indica GLS BS IV,Tata,Indica,GLS BS IV,2010,300000,Petrol,Individual,Manual,Third Owner,9.0,215019,90000,MH33YT6793
Tata Indica Vista Aqua 1.2 Safire BSIV,Tata,Indica,Vista Aqua 1.2 Safire BSIV,2010,128000,Petrol,Individual,Manual,First Owner,11.0,215138,97000,MH24UO2094
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2010,102307,Diesel,Dealer,Manual,First Owner,11.35,215414,160000,MH39YP6167
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2012,98900,Diesel,Individual,Manual,Third Owner,12.0,217326,126000,MH23BU8836
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2010,50000,Petrol,Individual,Manual,First Owner,14.0,217373,110000,MH19VJ2178
Tata Indica Vista Terra Quadrajet 1.3L,Tata,Indica,Vista Terra Quadrajet 1.3L,2011,90000,Diesel,Individual,Manual,Third Owner,11.0,217842,140000,MH23LP8198
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2011,80000,Diesel,Individual,Manual,First Owner,9.0,218099,133000,MH97OU4075
Mahindra Scorpio 1.99 S10,Mahindra,Scorpio,1.99 S10,2015,55000,Diesel,Individual,Manual,Second Owner,15.0,218250,150000,MH66ZF3003
Fiat Linea T Jet Emotion,Fiat,Linea,T Jet Emotion,2010,90000,Petrol,Individual,Manual,Second Owner,9.0,218398,215000,MH57VK5164
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2015,60000,Petrol,Individual,Manual,First Owner,11.0,218943,155000,MH16MA9398
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2012,110000,Diesel,Individual,Manual,First Owner,10.0,219213,150000,MH73RN1731
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2014,25000,Petrol,Individual,Manual,First Owner,9.0,219683,110000,MH81BT8908
Tata Indigo CR4,Tata,Indigo,CR4,2011,70000,Diesel,Individual,Manual,Second Owner,13.0,220048,150000,MH77AU5863
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2012,70000,Petrol,Individual,Manual,Third Owner,13.0,220515,160000,MH12PS3152
Maruti A-Star AT VXI,Maruti,A-Star,AT VXI,2012,70000,Petrol,Individual,Automatic,First Owner,11.0,220606,150000,MH37FW7574
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2011,56000,Diesel,Dealer,Manual,Second Owner,10.0,221353,221000,MH29AB7673
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2012,80000,Diesel,Individual,Manual,Third Owner,15.0,221995,120000,MH80CM8031
Tata Nano Cx BSIV,Tata,Nano,Cx BSIV,2012,35000,Petrol,Individual,Manual,Second Owner,11.0,222192,75000,MH26UF1187
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2012,110000,Diesel,Individual,Manual,First Owner,10.0,222202,120000,MH93MO6039
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2011,60000,Petrol,Individual,Manual,First Owner,11.0,222326,165000,MH58GZ6311
Maruti Alto LX,Maruti,Alto,LX,2011,50000,Petrol,Individual,Manual,First Owner,13.5,222538,135000,MH95XJ5779
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2013,25000,Petrol,Individual,Manual,Second Owner,10.93,222542,92800,MH52NQ3544
Maruti Omni MPI STD BSIV,Maruti,Omni,MPI STD BSIV,2014,120000,Petrol,Individual,Manual,Third Owner,12.0,222989,150000,MH89NZ5857
Ford Figo Petrol Titanium,Ford,Figo,Petrol Titanium,2011,60000,Petrol,Individual,Manual,Third Owner,13.16,223154,120000,MH21JA2726
Hyundai Santro Xing GL,Hyundai,Santro,Xing GL,2011,157000,Petrol,Individual,Manual,First Owner,10.0,223499,150000,MH55FZ3176
Hyundai Santro Xing GLS,Hyundai,Santro,Xing GLS,2010,90000,Petrol,Individual,Manual,Third Owner,13.0,224010,120000,MH76DD4454
Chevrolet Spark 1.0 PS,Chevrolet,Spark,1.0 PS,2010,73000,Petrol,Individual,Manual,First Owner,14.0,224787,110000,MH60OZ3069
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2019,20000,Petrol,Individual,Manual,First Owner,10.82,224888,210000,MH50PH9132
Nissan Micra Diesel XV Premium,Nissan,Micra,Diesel XV Premium,2011,90000,Diesel,Individual,Manual,Second Owner,10.57,225124,138000,MH49CN2457
Tata Indica Vista TDI LX,Tata,Indica,Vista TDI LX,2013,65000,Diesel,Individual,Manual,First Owner,10.0,225492,185000,MH11CN2885
Hyundai EON 1.0 Kappa Magna Plus,Hyundai,EON,1.0 Kappa Magna Plus,2015,80000,Petrol,Individual,Manual,Second Owner,10.06,225661,170000,MH60OK4784
Chevrolet Beat Diesel,Chevrolet,Beat,Diesel,2012,110000,Diesel,Individual,Manual,First Owner,13.0,225801,160000,MH96BL4534
Maruti Alto LXi,Maruti,Alto,LXi,2011,40000,Petrol,Individual,Manual,Second Owner,11.0,225905,150000,MH46MS2429
Hyundai Verna SX Diesel,Hyundai,Verna,SX Diesel,2011,72000,Diesel,Dealer,Manual,Third Owner,10.0,226581,210000,MH19YW1352
Chevrolet Beat Diesel LT,Chevrolet,Beat,Diesel LT,2011,80000,Diesel,Individual,Manual,Second Owner,12.0,226721,130000,MH50JS9809
Tata Indigo CR4,Tata,Indigo,CR4,2011,155500,Diesel,Individual,Manual,First Owner,9.0,226741,150000,MH60VX2705
Maruti Alto 800 Base,Maruti,Alto,800 Base,2015,40000,Petrol,Individual,Manual,First Owner,9.0,226780,155000,MH87NN4454
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2010,81000,Diesel,Individual,Manual,Second Owner,9.0,226851,125000,MH48TU2301
Mahindra Verito 1.5 D2 BSIII,Mahindra,Verito,1.5 D2 BSIII,2011,175000,Diesel,Individual,Manual,First Owner,15.0,227353,175000,MH39AV9331
Tata Indigo CR4,Tata,Indigo,CR4,2013,100000,Diesel,Individual,Manual,First Owner,9.64,227496,220000,MH16IO6687
Hyundai EON Magna Plus,Hyundai,EON,Magna Plus,2014,42000,Petrol,Individual,Manual,First Owner,9.0,227631,220000,MH14NS8829
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2011,60000,Petrol,Individual,Manual,Second Owner,9.0,228405,140000,MH67PV7372
Tata Indica Vista Quadrajet LX,Tata,Indica,Vista Quadrajet LX,2011,80000,Diesel,Individual,Manual,First Owner,9.0,228791,133000,MH65ZY5872
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,First Owner,9.11,228974,115999,MH88EY6030
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2010,15000,Petrol,Individual,Manual,First Owner,10.0,229706,180000,MH37SY2833
Hyundai i10 Magna,Hyundai,i10,Magna,2012,50000,Petrol,Individual,Manual,First Owner,11.0,230055,210000,MH82ID7014
Maruti Alto K10 LXI,Maruti,Alto,K10 LXI,2015,120000,Petrol,Individual,Manual,Fourth & Above Owner,14.0,230653,138000,MH27RA9795
Chevrolet Beat LT,Chevrolet,Beat,LT,2011,90000,Petrol,Individual,Manual,Second Owner,10.33,231085,120000,MH90JM8876
Fiat Punto 1.3 Emotion,Fiat,Punto,1.3 Emotion,2010,210000,Diesel,Individual,Manual,Second Owner,11.88,231528,130000,MH60DF8896
Tata Indica Vista Aura Plus 1.3 Quadrajet,Tata,Indica,Vista Aura Plus 1.3 Quadrajet,2012,70000,Diesel,Individual,Manual,Second Owner,9.0,232042,200000,MH36MG3149
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2011,90000,Petrol,Individual,Manual,First Owner,12.0,233382,135000,MH29KD6369
Chevrolet Beat LT,Chevrolet,Beat,LT,2012,12000,Petrol,Individual,Manual,First Owner,11.0,233673,155000,MH46WJ6463
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,80000,Diesel,Individual,Manual,Second Owner,14.0,233882,150000,MH18JK3185
Maruti Omni MPI STD BSIV,Maruti,Omni,MPI STD BSIV,2015,70000,Petrol,Individual,Manual,First Owner,9.9,234448,130000,MH11EA7231
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,Aveo,U-VA 1.2 LS,2010,60000,Petrol,Individual,Manual,First Owner,12.0,234976,140000,MH14VK6380
Maruti Zen Estilo VXI BSIV,Maruti,Zen,Estilo VXI BSIV,2010,50000,Petrol,Individual,Manual,Second Owner,11.41,235035,130000,MH76MK7551
Ford Figo Petrol ZXI,Ford,Figo,Petrol ZXI,2011,50000,Petrol,Individual,Manual,Third Owner,14.96,235388,185000,MH92KJ8884
Chevrolet Spark 1.0,Chevrolet,Spark,1.0,2010,70000,Petrol,Individual,Manual,First Owner,9.0,235468,80000,MH92LB2336
Tata Indigo LS,Tata,Indigo,LS,2012,200000,Diesel,Individual,Manual,Third Owner,15.0,235932,100000,MH43KT7681
Tata Indigo CS Emax CNG GLX,Tata,Indigo,CS Emax CNG GLX,2014,72000,CNG,Dealer,Manual,First Owner,12.0,236582,185000,MH37DD5849
Maruti Ritz VDi,Maruti,Ritz,VDi,2010,100000,Diesel,Individual,Manual,Second Owner,13.0,236863,148000,MH45MY8520
Chevrolet Beat Diesel PS,Chevrolet,Beat,Diesel PS,2012,68000,Diesel,Dealer,Manual,First Owner,15.0,237059,159000,MH25UO6066
Tata Indigo LS,Tata,Indigo,LS,2012,90000,Diesel,Individual,Manual,First Owner,9.44,237246,150000,MH63BN8411
Hyundai EON 1.0 Era Plus,Hyundai,EON,1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,12.0,237389,100000,MH47NM2501
Nissan Micra Diesel XV Premium,Nissan,Micra,Diesel XV Premium,2013,13770,Diesel,Individual,Manual,First Owner,10.0,238154,210000,MH95DO2210
Ford Figo Petrol ZXI,Ford,Figo,Petrol ZXI,2012,30000,Petrol,Individual,Manual,Third Owner,11.82,239089,130000,MH18YU2553
Fiat Grande Punto 1.3 Dynamic (Diesel),Fiat,Grande,Punto 1.3 Dynamic (Diesel),2010,63000,Diesel,Individual,Manual,Third Owner,11.15,239531,150000,MH24PS2452
Tata Indica Vista TDI LS,Tata,Indica,Vista TDI LS,2010,107500,Diesel,Dealer,Manual,First Owner,15.0,239949,170000,MH61JA2328
Tata Nano Twist XE,Tata,Nano,Twist XE,2015,23800,Petrol,Individual,Manual,Second Owner,15.0,241779,100000,MH92RI3478
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,Manza,Aura (ABS) Quadrajet BS IV,2012,155836,Diesel,Individual,Manual,Second Owner,9.0,242495,180000,MH69GB9689
Chevrolet Beat Diesel,Chevrolet,Beat,Diesel,2012,110000,Diesel,Individual,Manual,First Owner,14.0,243497,160000,MH47EQ7358
Tata Nano Lx BSIV,Tata,Nano,Lx BSIV,2010,58850,Petrol,Dealer,Manual,First Owner,9.0,243675,75000,MH79UF4474
Tata Sumo GX TC 8 Str,Tata,Sumo,GX TC 8 Str,2010,120000,Diesel,Individual,Manual,Second Owner,11.0,244077,220000,MH89JY5174
Chevrolet Beat LT Option,Chevrolet,Beat,LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,9.58,244699,239000,MH97BO5277
Tata Indica Vista Quadrajet VX,Tata,Indica,Vista Quadrajet VX,2012,85000,Diesel,Individual,Manual,First Owner,14.0,244769,185000,MH48ME2006
Tata Indigo LX,Tata,Indigo,LX,2012,90000,Diesel,Individual,Manual,Second Owner,13.18,245174,130000,MH55DW7909
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2011,100000,Petrol,Individual,Manual,Third Owner,9.0,245532,99000,MH94US4282
Maruti Alto LXi,Maruti,Alto,LXi,2012,50000,Petrol,Individual,Manual,First Owner,10.0,246157,150000,MH32LL3895
Maruti Ritz VDi,Maruti,Ritz,VDi,2011,40000,Diesel,Individual,Manual,Second Owner,13.0,246328,150000,MH72LZ3810
Renault KWID RXT,Renault,KWID,RXT,2017,50000,Petrol,Individual,Manual,First Owner,10.09,246365,240000,MH57JD1837
Tata Nano Cx BSIII,Tata,Nano,Cx BSIII,2014,7000,Petrol,Individual,Manual,Second Owner,10.17,246412,45000,MH35AN2667
Maruti Alto LXi,Maruti,Alto,LXi,2011,70000,Petrol,Individual,Manual,First Owner,14.42,246479,150000,MH29EY7103
Maruti SX4 Vxi BSIV,Maruti,SX4,Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,10.81,246548,225000,MH63FU8151
Chevrolet Beat Diesel PS,Chevrolet,Beat,Diesel PS,2012,58000,Diesel,Dealer,Manual,First Owner,11.16,246554,130000,MH57DB3347
Chevrolet Beat LS,Chevrolet,Beat,LS,2012,50000,Petrol,Individual,Manual,First Owner,12.72,246555,180000,MH92MI4651
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,Third Owner,9.51,246895,200000,MH79BD5571
Hyundai EON Sportz,Hyundai,EON,Sportz,2012,55766,Petrol,Individual,Manual,Second Owner,10.0,247219,150000,MH88TK5920
Mahindra Quanto C4,Mahindra,Quanto,C4,2013,100000,Diesel,Individual,Manual,Fourth & Above Owner,9.86,247481,220000,MH50SP5137
Maruti 800 AC,Maruti,800,AC,2013,80000,Petrol,Individual,Manual,First Owner,15.0,247563,100000,MH31IA3488
Maruti Wagon R LXI BS IV,Maruti,Wagon,R LXI BS IV,2010,70000,Petrol,Individual,Manual,First Owner,9.0,247724,222000,MH61YH5662
Maruti Alto K10 2010-2014 VXI,Maruti,Alto,K10 2010-2014 VXI,2011,90000,Petrol,Individual,Manual,Second Owner,10.89,248904,170000,MH69FU3925
Tata Indica Vista Aura Plus 1.3 Quadrajet,Tata,Indica,Vista Aura Plus 1.3 Quadrajet,2012,90000,Diesel,Individual,Manual,Second Owner,9.33,249167,200000,MH32RW8183
Renault KWID RXT,Renault,KWID,RXT,2016,53000,Petrol,Individual,Manual,Second Owner,10.76,250023,200000,MH57HX4721
Tata Nano XM,Tata,Nano,XM,2015,60000,Petrol,Individual,Manual,Second Owner,12.85,250303,190000,MH79KM2730
Mahindra Bolero SLX,Mahindra,Bolero,SLX,2011,70000,Diesel,Individual,Manual,Third Owner,14.0,250466,170000,MH88QU2838
